Index,Extracted Link
1,https://www.mavia.com/
2,https://credinetweb.bcp.com.bo/#/login
3,"https://login.live.com.office.ausunitypreprod.australianunity1.myshn.net/login.srf?contextid=E5D12462BD015EA0&opid=7AC4D5F5BE96D43F&bk=1706562201&mkt=EN-US&lc=1033&uaid=30dbe92366c64466b61ce5638a154646',b2:'',fMMXQRNewDescription:true,aT:'',b3:'',Ca:'https://account.live.com.office.ausunitypreprod.australianunity1.myshn.net/query.aspx?uaid=30dbe92366c64466b61ce5638a154646&mkt=EN-US&lc=1033&id=38936',aU:'https://login.live.com.office.ausunitypreprod.australianunity1.myshn.net/gls.srf?urlID=MSNPrivacyStatement&mkt=EN-US&uaid=30dbe92366c64466b61ce5638a154646',b4:'',b5:'',DB:{},Cc:'https://account.live.com.office.ausunitypreprod.australianunity1.myshn.net/ChangePassword?uaid=30dbe92366c64466b61ce5638a154646',aW:'',hpgid:33,sRequestCountry:'US',Cd:'https://login.live.com.office.ausunitypreprod.australianunity1.myshn.net/GetCredentialType.srf?opid=7AC4D5F5BE96D43F&id=38936&mkt=EN-US&lc=1033&uaid=30dbe92366c64466b61ce5638a154646',DC:{'Logo':'','LogoAltText':'','LogoText':'','ShowWLHeader':true},Ce:'https://account.live.com.office.ausunitypreprod.australianunity1.myshn.net/ResetPassword.aspx?wreply=https://login.live.com.office.ausunitypreprod.australianunity1.myshn.net/login.srf?contextid=E5D12462BD015EA0&opid=7AC4D5F5BE96D43F&bk=1706562201&id=38936&uiflavor=web&lostauthenticator=1&uaid=30dbe92366c64466b61ce5638a154646&mkt=EN-US&lc=1033&bk=1706562201',a11yConformeLink:null,DE:'"
4,https://login.live.com.office.ausunitypreprod.australianunity1.myshn.net/jsDisabled.srf?mkt=EN-US&lc=1033&uaid=30dbe92366c64466b61ce5638a154646
5,"http://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/login.srf?contextid=7F3BF0BCCAA32A05&opid=6F196F280695B2FA&mkt=EN-US&lc=1033&bk=1706547706&uaid=6c01cdd18ded4bf2bb8f9bc89bd8912b',a4"
6,"http://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/login.srf?contextid=093CABAC0544A23F&opid=495F3F78311581D5&mkt=EN-US&lc=1033&bk=1706547655&uaid=1cc984679bad405aacf83a961b3f8b15',a4"
7,https://www.rakuten.co.jp/sitemap/sp/app.html
8,https://www.hopp.bio/opennewmessg
9,"https://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/oauth20_authorize.srf?client_id=4765445b-32c6-49b0-83e6-1d93765276ca%5Cu0026scope=openid%20profile%20https://www.office.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/v2/OfficeHome.All%5Cu0026redirect_uri=https://www.office.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/landingv2%5Cu0026response_type=code%20id_token%5Cu0026state=Ya2TPtHoWz0ZrMzWMojTbcUSCVQGD78wUkhe-E2oPRWoSNkbI5Us0ebVQaBTZynmPDEMYKAQUjyPlU_eV_xNmcZh4Gtz5I31L28xOAavrldK1s_rxTaOZJNxrt_RMNSB_wY5LkqdRa0feyvoThfuWMZWAj7L4BQs50hiET4A6jrtyet95ip2C-8oOr5QgO4sFDlcRcSLycl2JXxOfKXredf37IqffHiSve5D84TjRAXjrMmG34pSqPpzJ9SklOxUTudCV_6aCYTpkQxmVnAHfw%5Cu0026response_mode=form_post%5Cu0026nonce=638408571822325643.Njg0MzI4ODctN2IwMC00ODU2LWJmY2ItOTc4NWU0NTg4ZjVlMDUxN2I4YmMtZTdlNy00ODFkLTlkZDctZWIzZWE5NTZkNTdh%5Cu0026x-client-SKU=ID_NET6_0%5Cu0026x-client-Ver=6.34.0.0%5Cu0026uaid=7276e9b2ecc8450a90c343ae4d254434%5Cu0026msproxy=1%5Cu0026issuer=mso%5Cu0026tenant=common%5Cu0026ui_locales=en-US%5Cu0026signup=1%5Cu0026lw=1%5Cu0026fl=easi2%5Cu0026epct=PAQABAAEAAAAmoFfGtYxvRrNriQdPKIZ-M8_ZhRA06oOJPYcjQl89Ul3qkQtSUPPoRpWVKsAHGsQJwyVgsMlmgGeObzByu9ffSSmT1N8GWoLGSLQR-vyAQBFL1KhHbiv26PgNkFLf4i1-UnVcnOVlBVZLTjzy2RCsD0qzAwkc3ONSEd_aiQFfD84ba7B1S2nngT75ISFiq35iMwjhCtYBL_yVMs5WT5nQfLFIZf3gkbB70c5Np7NzvyAA%5Cu0026jshs=0,urlMsaLogout:https://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/logout.srf?iframed_by=https://login.microsoftonline.com.office.urgo-prod1.laboratoiresurgo.myshn.eu,urlOtherIdpForget:https://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/forgetme.srf?iframed_by=https://login.microsoftonline.com.office.urgo-prod1.laboratoiresurgo.myshn.eu,showCantAccessAccountLink:true,urlGitHubFed:https://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/oauth20_authorize.srf?client_id=4765445b-32c6-49b0-83e6-1d93765276ca%5Cu0026scope=openid%20profile%20https://www.office.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/v2/OfficeHome.All%5Cu0026redirect_uri=https://www.office.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/landingv2%5Cu0026response_type=code%20id_token%5Cu0026state=Ya2TPtHoWz0ZrMzWMojTbcUSCVQGD78wUkhe-E2oPRWoSNkbI5Us0ebVQaBTZynmPDEMYKAQUjyPlU_eV_xNmcZh4Gtz5I31L28xOAavrldK1s_rxTaOZJNxrt_RMNSB_wY5LkqdRa0feyvoThfuWMZWAj7L4BQs50hiET4A6jrtyet95ip2C-8oOr5QgO4sFDlcRcSLycl2JXxOfKXredf37IqffHiSve5D84TjRAXjrMmG34pSqPpzJ9SklOxUTudCV_6aCYTpkQxmVnAHfw%5Cu0026response_mode=form_post%5Cu0026nonce=638408571822325643.Njg0MzI4ODctN2IwMC00ODU2LWJmY2ItOTc4NWU0NTg4ZjVlMDUxN2I4YmMtZTdlNy00ODFkLTlkZDctZWIzZWE5NTZkNTdh%5Cu0026x-client-SKU=ID_NET6_0%5Cu0026x-client-Ver=6.34.0.0%5Cu0026uaid=7276e9b2ecc8450a90c343ae4d254434%5Cu0026msproxy=1%5Cu0026issuer=mso%5Cu0026tenant=common%5Cu0026ui_locales=en-US%5Cu0026epct=PAQABAAEAAAAmoFfGtYxvRrNriQdPKIZ-OXwiQKBI83jEd-n-Z22Iardc2BmfRPy7G_dROqfPNmh5hXa9Cdjz2c1LFSDiS_lHKBu34MZEhHNyMgrFFOLom-NGE7DasJ5yCXJ0SUlREbw4V7wD3QKGRcVIyGhuwpw1o0qdZC9lmwWOwjrCw205xuHz8FKoArW872dBjikrXJoc0L5pJPgS0sRx7e0FGLfnAdUJ9jryZRb-ZAjNYmrYASAA%5Cu0026jshs=0%5Cu0026idp_hint=github.com,arrExternalTrustedRealmFederatedIdps:[],fShowSignInWithGitHubOnlyOnCredPicker:true,fEnableShowResendCode:true,iShowResendCodeDelay:90000,sSMSCtryPhoneData:AF~Afghanistan~93!!!AX~"
10,"https://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/oauth20_authorize.srf?client_id=4765445b-32c6-49b0-83e6-1d93765276ca%5Cu0026scope=openid%20profile%20https://www.office.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/v2/OfficeHome.All%5Cu0026redirect_uri=https://www.office.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/landingv2%5Cu0026response_type=code%20id_token%5Cu0026state=F34sYuNm0dgUICZUf5pMCKyqlZwhSYDTpi0CHvlH4BOppWSnMYFCGDIjok7ryB3sGYlr1ynH9KiDNvIsQlQiYjGuoaNXEpZ0Vy2_ky9griH41d_NXahivkZYgttasimY41bzFi1UyucijcKgWeI6dJq3obFu1J3lzpw7Q57YglrntY3S4NUXGQS9gy2tmOn0J2TyM82YGV4rQOSd3GOK9_Y1413tN-_y5e1jRfc9vxZwScD-3W0w99Kg6aC8zc3M6U5U_IXPTQVhpELpFEfC3Q%5Cu0026response_mode=form_post%5Cu0026nonce=638408570573254648.MGVhOWE5YzMtNzdmNC00MDRkLWFjMWEtMmYzMTVmMThhNDNlM2JjNmI3YTEtZDUxNS00OWJhLWFjNGEtY2U2NjZiNDdhNzg1%5Cu0026x-client-SKU=ID_NET6_0%5Cu0026x-client-Ver=6.34.0.0%5Cu0026uaid=d7e2859bfd5244639e090c205f3c1d66%5Cu0026msproxy=1%5Cu0026issuer=mso%5Cu0026tenant=common%5Cu0026ui_locales=en-US%5Cu0026signup=1%5Cu0026lw=1%5Cu0026fl=easi2%5Cu0026epct=PAQABAAEAAAAmoFfGtYxvRrNriQdPKIZ-Fcqbf9g8DhkW1AnB6f2SNjlFZ3gKF3Zvbto-RU2GwvOFPZYnkm-fnt-7tVPkQe8QPQf9yOMeE1ByN8xRwzo9DbsnYCDKo5o2isYMxsM_iCT_BESAK34hldBMv4a-Nmp6PsjMQPSd2rAP_fvIIKauFzz7AOena-xFW1R11e4HuSA637ZNX6aVNEr-aZYya_9XCv2ErKnqCH9MnNZJv4Gb8SAA%5Cu0026jshs=0,urlMsaLogout:https://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/logout.srf?iframed_by=https://login.microsoftonline.com.office.urgo-prod1.laboratoiresurgo.myshn.eu,urlOtherIdpForget:https://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/forgetme.srf?iframed_by=https://login.microsoftonline.com.office.urgo-prod1.laboratoiresurgo.myshn.eu,showCantAccessAccountLink:true,urlGitHubFed:https://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/oauth20_authorize.srf?client_id=4765445b-32c6-49b0-83e6-1d93765276ca%5Cu0026scope=openid%20profile%20https://www.office.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/v2/OfficeHome.All%5Cu0026redirect_uri=https://www.office.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/landingv2%5Cu0026response_type=code%20id_token%5Cu0026state=F34sYuNm0dgUICZUf5pMCKyqlZwhSYDTpi0CHvlH4BOppWSnMYFCGDIjok7ryB3sGYlr1ynH9KiDNvIsQlQiYjGuoaNXEpZ0Vy2_ky9griH41d_NXahivkZYgttasimY41bzFi1UyucijcKgWeI6dJq3obFu1J3lzpw7Q57YglrntY3S4NUXGQS9gy2tmOn0J2TyM82YGV4rQOSd3GOK9_Y1413tN-_y5e1jRfc9vxZwScD-3W0w99Kg6aC8zc3M6U5U_IXPTQVhpELpFEfC3Q%5Cu0026response_mode=form_post%5Cu0026nonce=638408570573254648.MGVhOWE5YzMtNzdmNC00MDRkLWFjMWEtMmYzMTVmMThhNDNlM2JjNmI3YTEtZDUxNS00OWJhLWFjNGEtY2U2NjZiNDdhNzg1%5Cu0026x-client-SKU=ID_NET6_0%5Cu0026x-client-Ver=6.34.0.0%5Cu0026uaid=d7e2859bfd5244639e090c205f3c1d66%5Cu0026msproxy=1%5Cu0026issuer=mso%5Cu0026tenant=common%5Cu0026ui_locales=en-US%5Cu0026epct=PAQABAAEAAAAmoFfGtYxvRrNriQdPKIZ-4ES1NZ4S60FgYQ0POxgHIsT3SmpkHhKsfbnUFxXd8aAYXPBSJk4ei5DSZWyrcarbIuiGebitD4KEpgcGG2Y6k3qZH7mIi_Bdr--SZ6mgSwfH2Rrdpa56_yYoZyQ6RhVHpnXSXy6natIffRS9e_6T7GltgEolHaGLhyUW7tpsWvafdl_4EE6wvRl2irsMXacs0daIYAILQhc7sjDEL0_AESAA%5Cu0026jshs=0%5Cu0026idp_hint=github.com,arrExternalTrustedRealmFederatedIdps:[],fShowSignInWithGitHubOnlyOnCredPicker:true,fEnableShowResendCode:true,iShowResendCodeDelay:90000,sSMSCtryPhoneData:AF~Afghanistan~93!!!AX~"
11,"https://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/Me.htm?v=3&uaid=de5d64a55fad4e2e8bc85279bf8c13a1',Cg:'https://go.microsoft.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/fwlink/p/?linkid=850749"
12,"https://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/Me.htm?v=3&uaid=6d1061c60ffb43909e571272c2742b5a',Cg:'https://go.microsoft.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/fwlink/p/?linkid=850749"
13,"https://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/login.srf?contextid=C37B634CCEDA1CB4&opid=D8D466ED6B012728&mkt=EN-US&lc=1033&bk=1705240922&uaid=de5d64a55fad4e2e8bc85279bf8c13a1',a4"
14,"https://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/login.srf?contextid=C37B634CCEDA1CB4&opid=D8D466ED6B012728&bk=1705240922&mkt=EN-US&lc=1033&uaid=de5d64a55fad4e2e8bc85279bf8c13a1',b2:'',fMMXQRNewDescription:true,aT:'',b3:'',Ca:'https://account.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/query.aspx?uaid=de5d64a55fad4e2e8bc85279bf8c13a1&mkt=EN-US&lc=1033&id=38936',aU:'https://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/gls.srf?urlID=MSNPrivacyStatement&mkt=EN-US&uaid=de5d64a55fad4e2e8bc85279bf8c13a1',b4:'',b5:'',DB:{},Cc:'https://account.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/ChangePassword?uaid=de5d64a55fad4e2e8bc85279bf8c13a1',aW:'',hpgid:33,sRequestCountry:'DE',Cd:'https://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/GetCredentialType.srf?opid=D8D466ED6B012728&id=38936&mkt=EN-US&lc=1033&uaid=de5d64a55fad4e2e8bc85279bf8c13a1',DC:{'Logo':'','LogoAltText':'','LogoText':'','ShowWLHeader':true},Ce:'https://account.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/ResetPassword.aspx?wreply=https://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/login.srf?contextid=C37B634CCEDA1CB4&opid=D8D466ED6B012728&bk=1705240922&id=38936&uiflavor=web&lostauthenticator=1&uaid=de5d64a55fad4e2e8bc85279bf8c13a1&mkt=EN-US&lc=1033&bk=1705240922',a11yConformeLink:null,DE:'"
15,"https://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/login.srf?contextid=6F70CFD7E49836D3&opid=2FF302B777884465&mkt=EN-US&lc=1033&bk=1705240967&uaid=6d1061c60ffb43909e571272c2742b5a',a4"
